id,ret
1,支持7天无理由退换货，但商品需保持完好、配件齐全、包装完整。运费方面，非质量问题的退货运费由买家自行承担；若是质量问题导致的退换货，运费则由卖家承担。
2,售后维修服务范围：保修期内，授权经销商将免费维修或更换因原厂材料或工艺缺陷导致的故障零部件。私人非商业用途享受2年保修，商业或租赁用途享受180天保修。保修维修所用零部件在原产品剩余保修期内继续享受保修。 以下情况不在保修范围内：安装非原厂同等质量零部件、异常负荷或不当使用、未按规定保养、意外事故或碰撞损坏，以及正常磨损更换的零部件。 人为损坏方面，因疏忽、不当使用或意外事故造成的损坏均不在保修范围内。此类维修费用由用户自行承担，包括所有维修零部件费用及人工费用。日常保养耗材（如机油、火花塞等）费用也由用户自付。保修不涵盖因故障产生的运输等附带费用。
3,支持开具增值税普通发票和电子发票，下单时在备注中填写发票抬头和税号即可。如果抬头填写有误，可联系客服重新开具。关于收票时间，现有资料中暂无相关说明，建议直接联系客服咨询。
4,收到商品包装破损时，建议立即拍照留存证据，并联系客服反映情况。若商品本身完好，不影响正常使用，可根据实际情况决定是否申请售后。若商品也受损，属于商品与描述不符，支持退换货，运费由卖家承担。需要注意的是，7天无理由退换货要求包装完整，包装破损可能影响无理由退货资格，但若属于质量问题或运输损坏导致，仍可申请售后处理。建议尽快联系客服并提供照片，以便核实情况后给出最合适的解决方案。
5,
6,支持7天无理由退换货，商品需完好、配件齐全、包装完整。退款在确认收货后1-3个工作日原路退回。信用卡退款会原路返回至原信用卡，但可能需额外3-7个工作日，具体到账时间取决于发卡行。
7,商品颜色与图片不符属于商品与描述不符的情况，支持退换货，运费由卖家承担。请联系客服说明情况，提供相关凭证，客服核实后为您安排退换货处理。
8,针对虚假宣传问题，可通过以下方式投诉：若商品与描述不符，支持退换货，运费由卖家承担；若收到假货，需提供鉴定证明，核实后可获三倍赔偿。建议保留相关证据（如商品页面截图、实物照片等），联系客服提交投诉，客服将根据核实结果进行处理。
9,订单少件请第一时间联系客服，提供订单号和现有商品照片作为凭证，客服核实后将安排补发或退款处理。若补发承诺未在约定时间内履行，请再次联系客服并告知原补发承诺记录，要求升级处理或申请平台介入。如客服未能有效解决，可通过平台投诉渠道提交，平台将介入跟进。
10,"维修进度可通过订单详情页的""""售后服务""""入口实时查看当前维修状态。维修正常周期为7-15个工作日。若超出15个工作日仍未完成，可在售后页面发起投诉，或联系客服提供订单号及维修单号，客服会协助跟进并督促处理，确保问题得到及时解决。"
11,收到临近过期商品属于质量问题，运费由卖家承担。可在收货7天内申请退换货，商品需保持完好、配件齐全、包装完整。退款将在确认收货后1-3个工作日原路退回，信用卡退款可能需额外3-7个工作日。请联系客服提供相关凭证发起售后申请。
12,非常抱歉您遇到了这种情况。针对快递员态度恶劣及辱骂客户的问题，请记录该快递员的工号，并将相关情况反馈给客服，我们将对此进行严肃处理。
13,商品质量问题可按以下情况处理：商品与描述不符，支持退换货，运费由卖家承担；收到二手商品，提供照片核实后可获全额退款；收到假货，提供鉴定证明，核实后给予三倍赔偿。如对客服响应有投诉，请记录客服工号并反馈，平台将严肃处理。
14,收到疑似二手翻新商品，属于收到二手商品的情况。请拍摄商品照片作为证据提交投诉，平台核实后将为您办理全额退款。可通过订单页面发起售后申请，上传清晰的商品实物照片，说明疑似翻新的具体情况（如使用痕迹、包装异常等），客服核实后会尽快处理。
15,疑似假货投诉处理流程：提供商品鉴定证明，客服核实后按三倍赔偿处理。建议保留购买凭证和商品照片作为辅助材料，联系客服时一并提交，以加快核实进度。
16,轻微划痕属于外观瑕疵，若商品功能完好且您认为不影响使用，通常不构成质量问题，不符合换货条件。但若划痕是由于商品与描述不符（如描述为全新无瑕疵），则支持退换货，运费由卖家承担。建议您提供照片联系客服核实具体情况，以便判断是否适用相关售后政策。
17,换货需要包装完整，原包装盒丢失会影响换货资格。换货不需要额外支付包装费，但换货产生的运费由买家承担，若属于质量问题则运费由卖家承担。
18,超过7天无理由退换货期限后，不支持无理由退货。但若商品存在质量问题，仍可申请售后维修服务。建议联系客服说明具体情况，提供质量问题的相关凭证，由客服协助处理。
19,本产品不随箱附带纸质版说明书。电子版说明书可在商品详情页下载，或联系客服获取。
20,暂不支持寄送到港澳台及海外地区，仅支持国内配送。因此国际运费及国际配送时效均不适用，如有相关需求建议联系客服进一步咨询。
21,开具公司抬头发票时，需在下单时备注发票信息，包括公司抬头和税号，确保信息准确无误。若发票抬头写错，可联系客服重新开具。
22,已使用过的商品若存在质量问题，超过7天退换货期后仍可申请售后维修。但若是人为损坏、进水或拆机导致的瑕疵，不在免费维修范围内，需收取维修费用。售后方式为维修，保修期内质量问题免费处理，维修周期一般为7至15个工作日。保修卡丢失可凭购买记录享受售后服务。
23,已付款订单在发货前可联系客服申请取消，取消成功后可全额退款。退款将在1-3个工作日内原路退回，信用卡退款可能需额外3-7个工作日，具体取决于发卡行。若订单已发货，则需等收货后按7天无理由退换货政策申请退货退款。
24,关于售后保障卡，根据手册内容，注册卡（保障卡）并非享受保修服务的必要条件。手册明确说明：请务必寄回注册卡，但这并非保修生效的必要步骤，主要用于在安全通知或产品召回时及时通知您。因此，即使售后保障卡丢失，只要您能提供购买凭证（商店收据或发票），仍可正常享受售后保修服务。
25,部分商品支持以旧换新服务，具体是否支持以当前商品页面公示为准，建议联系客服了解详情。
26,"智能客服可解答订单查询、物流跟踪、退换货政策、商品信息、促销活动等常见问题。若智能客服无法解答，系统会自动转接人工客服，您也可以主动选择""""转人工""""选项，由专属客服人员为您进一步处理。"
27,
28,
29,
30,
31,
32,
33,支持7天无理由退换货。需满足以下条件：商品完好无损、配件齐全、包装完整。退货运费由买家承担，若属质量问题则由卖家承担运费。超过7天如有质量问题，仍可申请售后维修。
34,收到商品后发现少发，请在签收后24小时内联系客服，并提供订单号及现有商品的照片作为凭证，客服核实后会安排补寄。补寄时效与正常发货一致，普通地区3-5天，偏远地区5-7天送达。补寄产生的运费由我方承担，无需您支付任何费用。
35,支持7天无理由换货，但只能换同款商品，不支持换成其他款式。若需要其他款式，建议先退货再重新下单。商品需保持完好、配件齐全、包装完整，退换运费由买家承担。
36,手册中未提供该商品的生产日期信息，建议查看产品包装或联系客户支持获取相关信息。
37,大件商品（如空调、冰箱）支持上门安装服务，小件商品通常不提供，具体是否支持安装请查看对应商品详情页。
38,根据现有手册内容，未提供关于试用装的相关信息，建议联系客服进一步咨询。
39,购买后使用一段时间出现质量问题，仍在售后范围内。虽然7天无理由退换货已过期，但超期后如有质量问题，依然可以申请售后维修服务。如商品与描述不符，也支持退换货，运费由卖家承担。
40,支持7天无理由换货，可以换为更大尺寸。换货产生的尺寸差价需买家自行补足，换货运费由买家承担；若因商品质量问题换货，运费则由卖家承担。
41,快递丢失或长时间未更新物流，请联系客服发起调查。确认丢失后，可选择免费补发或全额退款。退款将原路退回，到账时效为1-3个工作日，信用卡退款可能需额外3-7个工作日。
42,已使用过的商品通常无法申请7天无理由退款，因为退换货要求商品完好、配件齐全、包装完整。若商品存在质量问题，7天内可申请退换货，运费由卖家承担；超过7天仍可申请售后维修服务。
43,快递送达时本人不在家，快递员通常会将包裹存放至快递柜或代收点，并通过短信或电话通知您取件。建议您及时查看手机通知，按提示前往取件。若快递柜存放超时产生费用，可联系客服协商处理。如包裹状态显示已签收但未收到，请在24小时内联系客服处理。
44,
45,不提供终身维修服务。保修期内质量问题可免费维修，人为损坏、进水、拆机等情况需收费。超出保修期后如有质量问题仍可申请售后维修，但具体费用视情况而定。维修周期一般为7-15个工作日。
46,维修超过15个工作日未收到商品，可联系客服提供订单号催促进度，客服将协助跟进处理。若商品疑似翻新机而非全新，属于收到二手商品情况，请拍摄商品照片提交给客服，核实后可获全额退款。若确认为翻新机欺诈行为，属于假货范畴，需提供相关鉴定证明，客服核实后将按三倍赔偿处理。
47,发票抬头写错，请联系客服提供正确的抬头和税号信息，客服会为您重新开具。质量问题商品支持7天无理由换货，运费由卖家承担，超过7天如仍有质量问题可申请售后维修，建议联系客服并提供商品照片作为凭证。少发商品属于商品与描述不符的情况，请联系客服并提供相关照片，核实后卖家承担运费为您补寄，运费由卖家承担。
48,包装破损、商品受潮属于质量问题，支持退货退款，运费由卖家承担。请联系客服提交商品照片作为凭证，退款确认后1-3个工作日原路退回，信用卡可能需额外3-7个工作日。关于食用受潮食品后的健康保障或赔偿，现有手册中未包含相关条款，建议直接联系客服进一步咨询，或保留相关就医凭证以备维权使用。
49,包装破损导致商品损坏属于运输责任范畴，属于商品与描述不符的情况，支持退换货，运费由卖家承担。若收到的商品因运输损坏，可提供照片作为凭证申请处理。已签收商品后仍可申请售后：签收后7天内可申请无理由退换货，商品需保持完好、配件齐全；超过7天如存在质量问题，可申请售后维修，保修期内免费，保修卡丢失凭购买记录同样有效。
50,免费安装服务仅包含基础安装，若安装人员额外收取配件费，需确认该配件是否属于必要耗材（如膨胀螺栓、连接管等），正规情况下应提前告知并经您同意。若未经告知强制收费，属于不合规行为，可拒付并向平台客服投诉，要求退还费用。 安装人员操作不规范导致家电损坏，属于人为损坏责任，责任方为安装服务提供者而非您本人。建议第一时间拍照或录像留存损坏证据，联系平台客服说明情况，要求平台介入处理并赔偿损失。若协商无果，可向消费者协会投诉或通过法律途径维权。
51,质保期内若为产品质量问题，维修应免费，收取配件费不合理。若客服认定为人为损坏、进水或拆机导致，则可收费。如您认为判定有误，可提供购买凭证和故障描述，联系客服申诉，要求重新核查故障原因。 维修时长一般为7-15个工作日，并非承诺7天完成。若已超出15个工作日仍未完成，可联系客服催单，要求说明延误原因及预计完成时间，必要时可要求升级处理或协商补偿方案。
52,大型设备无法现场修复需返仓维修时，标准维修周期为7-15个工作日，具体时间以实际情况为准，可联系客服确认进度。设备运输过程中若发生损坏，手册中未明确说明运输损坏的责任界定及赔偿流程，建议直接联系客服处理，并保留损坏现场照片作为凭证。
53,试用期间商品出现非人为故障，属于质量问题，可以申请售后处理。7天内可申请无理由退换货，商品需保持完好、配件齐全、包装完整，质量问题产生的运费由卖家承担。故障商品在7天试用期内可以申请更换。关于延长试用期限，根据现有政策暂无相关规定，建议联系客服进一步咨询。超过7天如仍有质量问题，可申请售后维修，保修期内免费处理。
54,收到临期商品且页面未标注，属于商品与描述不符的情况，支持退货退款，运费由卖家承担。关于赔偿，根据手册规定，收到假货可获三倍赔偿，但临期商品未披露的情况未明确列出赔偿条款，建议联系客服提供相关证据，按商品与描述不符流程处理。
55,商品颜色与详情页描述不一致属于商品与描述不符，支持退换货，运费由卖家承担。商品有异味通常属于质量问题，同样支持退换货，运费由卖家承担。如需申请，请保留商品并联系客服提交相关凭证。
56,
57,收货后发现商品损坏，即使未当场验货，仍可申请售后。若在7天内，符合退换货条件可申请退换货，质量问题运费由卖家承担。若超过7天，如属质量问题仍可申请售后维修，保修期内免费维修，维修周期一般7-15个工作日。建议尽快拍照留存损坏证据，联系客服说明情况并提交照片，以便核实处理。
58,商品功能与详情页描述不符属于商品与描述不符的情况，支持退换货，且退货运费由卖家承担，无需您自行承担。关于赔偿，平台对收到假货的情况支持三倍赔偿（需提供鉴定证明核实）。若属于虚假宣传但非假货，目前政策支持退换货处理，建议联系客服提供相关证据，说明描述不符的具体内容，由客服进一步核实处理。
59,
60,
61,
62,
